51.9518956	6.3060143	Oude Terborgseweg	7004DV	175-03
51.9518333	6.3060661	Oude Terborgseweg	7004DV	175-04
51.9517496	6.3061847	Oude Terborgseweg	7004DV	175-05
51.9516858	6.3062490	Oude Terborgseweg	7004DV	175-06
51.9524221	6.3095827	Acacialaan	7004AV	176
51.9515390	6.3064767	Oude Terborgseweg	7004DV	177
51.9524077	6.3097531	Acacialaan	7004AV	178
51.9512884	6.3122031	Asterstraat	7004BV	18
51.9553724	6.3171961	Badweg	7004GV	18
51.9493014	6.3097903	Begoniastraat	7004CL	18
51.9475155	6.3127927	Boterbloemstraat	7004DP	18
51.9576795	6.2991281	Charley Tooropstraat	7004AS	18
51.9508610	6.3115875	Dennenweg	7004BS	18
51.9547882	6.3298635	Ellegoorsestraat	7004HC	18
51.9512839	6.3088074	Fazantlaan	7004BM	18
51.9571171	6.3013573	Frans Halsweg	7004AB	18
51.9562713	6.3058903	Kastanjelaan	7004AK	18
51.9500195	6.3119961	Klaproosstraat	7004EH	18
51.9480409	6.3091011	Leliestraat	7004CS	18
51.9553615	6.3049084	Lijsterbeslaan	7004AH	18
51.9524458	6.3067893	Meester Lovinklaan	7004BJ	18
51.9493854	6.3141237	Papaverstraat	7004CJ	18
51.9486655	6.3123738	Pinksterbloemstraat	7004ED	18
51.9539592	6.3174399	Rekhemseweg	7004GL	18
51.9500101	6.3141034	Rozenstraat	7004CE	18
51.9502830	6.3090926	Sniplaan	7004BN	18
51.9518753	6.3099878	Zonneplein	7004EL	18
51.9523622	6.3099147	Acacialaan	7004AV	180
51.9512970	6.3066904	Oude Terborgseweg	7004DV	181
51.9523386	6.3100068	Acacialaan	7004AV	182
51.9512086	6.3068045	Oude Terborgseweg	7004DV	183
51.9522927	6.3101691	Acacialaan	7004AV	184
51.9511662	6.3068540	Oude Terborgseweg	7004DV	185
51.9522721	6.3102507	Acacialaan	7004AV	186
51.9510648	6.3069755	Oude Terborgseweg	7004DV	187
51.9522268	6.3104283	Acacialaan	7004AV	188
51.9500161	6.3120826	Klaproosstraat	7004EH	18A
51.9559890	6.3170926	Badweg	7004GV	19
51.9494919	6.3118825	Begoniastraat	7004CK	19
51.9502248	6.3099909	Dennenweg	7004BP	19
51.9570293	6.3019411	Frans Halsweg	7004AA	19
51.9505748	6.3134678	Klaproosstraat	7004EG	19
51.9490055	6.3095722	Leliestraat	7004CN	19
